region_id,delta_beta_orig,direction_orig,candidate_orig,p_edta,fdr_edta,delta_beta_edta,p_pax,fdr_pax,delta_beta_pax,p_eope,fdr_eope,delta_beta_eope,p_inter,fdr_inter,chr,start,end,type,symbol,sens_flag,eo_flag
258,-0.112173893297538,hypo,TRUE,0.0489760203338343,0.280087793405587,-0.092960096869285,0.0502752832686432,0.532037549463988,-0.154854349710751,0.00638843644624273,0.20089027896127,-0.130456275647322,0.357209491446144,0.790115427415125,chr1,25041136,25047404,gene_body,LINC02793,tube_robust_nominal,eope_nominal
547,-0.224723600994815,hypo,TRUE,8.25087119525982e-05,0.0169018904242399,-0.23156637797532,,,,0.000136608864074439,0.040773647658506,-0.18763012107587,0.297088766385536,0.760687731930795,chr1,53183346,53191509,gene_body,LOC105378724,tube_robust_fdr,eope_fdr
603,-0.132146810648407,hypo,TRUE,0.00100629970465034,0.0418432137912224,-0.135347161269818,0.0746265276090583,0.599503924632368,-0.11942355169396,0.000184709618665624,0.0461775889513102,-0.0959569003155097,0.400934612015928,0.811122451229027,chr1,63173145,63198684,gene_body,LOC105378770,tube_robust_fdr,eope_fdr
612,-0.103070374147653,hypo,TRUE,0.0702086193594819,0.336840627276011,-0.0723327494685212,0.00959447931204588,0.317097199456565,-0.183110191233141,0.00470039049734303,0.178667851641174,-0.114440796705038,0.374102612687918,0.797829848637431,chr1,64203623,64267368,gene_body,UBE2U,direction_only,eope_nominal
1165,0.115742421793182,hyper,TRUE,0.000233671972163877,0.0231416912002403,0.164610978737794,0.774681474246903,0.952266919059482,0.018219500606689,0.00157212273683357,0.110122237863345,0.128509450010593,0.0840294632838118,0.641405319866875,chr1,157273701,157283968,gene_body,LINC02772,tube_robust_fdr,eope_nominal
1211,0.110122641681297,hyper,TRUE,0.0242664640301153,0.198556535554354,0.11773585436371,0.423231139132277,0.884389327501824,0.0756618182921487,0.015092956769131,0.2860439341742,0.122689021851849,0.820293540379208,0.955876611996396,chr1,161118086,161125445,gene_body,NIT1,tube_robust_nominal,eope_nominal
1293,0.100878884628961,hyper,TRUE,0.000124201638871625,0.0187529204002849,0.0733454938964171,0.0210797068178352,0.412339630924483,0.120221877393077,4.34572565291197e-05,0.0250714151860793,0.0977293953534325,0.345279859579681,0.78434260170223,chr1,171781660,171814023,gene_body,METTL13,tube_robust_fdr,eope_fdr
1673,0.127798272195652,hyper,TRUE,0.00767211004584888,0.109004321711962,0.129760889674333,0.1995091533402,0.786084010759931,0.11167459609861,0.00217200642081652,0.126298230216422,0.160853786868623,0.981720619136772,0.994555473507383,chr1,234751467,234775831,gene_body,LOC107985364,tube_robust_nominal,eope_nominal
1769,0.20832985692703,hyper,TRUE,0.000911121753080619,0.0401514790732573,0.252071298151545,0.169691793377946,0.753559348223214,0.147994369846963,0.000445913254216792,0.0630726220525293,0.228249018040973,0.42253053330506,0.820343546294685,chr1,586945,727211,gene_body,OR4F16,tube_robust_fdr,eope_nominal
2387,0.112358359016758,hyper,TRUE,0.000437242305325742,0.0291977979185441,0.108861990836823,0.0607204055891421,0.566399441124874,0.0988183420483951,0.00127468754429263,0.0991455219562383,0.103050276844522,0.638150054836298,0.902832547777231,chr1,77944055,77979110,gene_body,FUBP1,tube_robust_fdr,eope_nominal
2476,0.106410770875504,hyper,TRUE,0.000148533968970047,0.0199510264897829,0.108852339082293,0.152723284055267,0.733180480202023,0.0851477951190306,0.00570374397479791,0.191892097557506,0.0790862416837151,0.501665274014858,0.854909983679358,chr1,94974405,95072951,gene_body,ALG14,tube_robust_fdr,eope_nominal
2482,-0.15045478074135,hypo,TRUE,0.0394063121332967,0.253034209173281,-0.0921771086073,0.000270931410703503,0.116663239834295,-0.268028700459904,0.000159081016179109,0.0438184472722826,-0.165575875912881,0.0778021387877458,0.636665848958854,chr1,96254069,96374125,gene_body,LINC01787,tube_robust_nominal,eope_fdr
